City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
340,Polunochnoye,RU,60.8697,60.4153,39.87,79,50,7.14,scattered clouds
341,Meulaboh,ID,4.1363,96.1285,76.08,89,100,3.91,overcast clouds
342,Bud,US,39.447,-86.1758,73.74,85,99,8.61,moderate rain
343,Margate,GB,51.3813,1.3862,63.03,85,100,1.99,overcast clouds
344,Pershotravneve,UA,51.3929,28.8684,40.12,54,5,6.29,clear sky
345,Pucallpa,PE,-8.3791,-74.5539,89.64,58,75,4.61,broken clouds
346,Atambua,ID,-9.1061,124.8925,73.6,82,86,3.38,overcast clouds
347,Fortuna,US,40.5982,-124.1573,55.65,71,75,0.0,broken clouds
348,Saint Pete Beach,US,27.7253,-82.7412,94.33,63,1,3.0,clear sky
349,Nenjiang,CN,49.1833,125.2167,39.63,73,2,3.62,clear sky
350,Faridpur,BD,23.6,89.8333,84.2,79,32,4.94,scattered clouds
351,Watsa,CD,3.0372,29.5355,65.35,98,82,3.49,light rain
352,Nizwa,OM,22.9333,57.5333,88.11,37,0,4.99,clear sky
353,Mapiri,BO,-15.25,-68.1667,78.76,79,81,2.53,broken clouds
354,Mabaruma,GY,8.2,-59.7833,80.94,88,72,5.55,broken clouds
355,Khromtau,KZ,50.2503,58.4347,38.12,52,0,3.49,clear sky
356,San Francisco,US,37.7749,-122.4194,66.13,78,75,3.0,broken clouds
357,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,87,100,6.82,overcast clouds
358,Charyshskoye,RU,51.3978,83.5598,34.48,68,100,7.65,overcast clouds
359,Chimbarongo,CL,-34.7,-71.05,70.18,32,0,5.97,clear sky
360,Luena,AO,-11.7833,19.9167,75.09,45,81,2.57,broken clouds
